Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Date,Date_reference,Date_sort,Date_hierarchy,local health board provider,local health board provider_reference,local health board provider_sort,local health board provider_hierarchy,specialty,specialty_reference,specialty_sort,specialty_hierarchy,stage of pathway,stage of pathway_reference,stage of pathway_sort,stage of pathway_hierarchy,weeks waiting,weeks waiting_reference,weeks waiting_sort,weeks waiting_hierarchy,age group,age group_reference,age group_sort,age group_hierarchy,Notes
131,131,Pathways waiting,1,1,,Mar-25,20250331,163,,Aneurin Bevan LHB,W11000028,9,W92000004,Trauma and Orthopaedic,110,75,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Total,T,59,,Less than 18 years of age,17,,T,
44,44,Pathways waiting,1,1,,Jun-25,20250630,166,,Hywel Dda LHB,W11000025,4,W92000004,Gastroenterology,301,26,T,All Stages of Pathway,T,5,,Over 26 weeks and up to 27 weeks,26,27,T,Total,T,,,
737,737,Pathways waiting,1,1,,Jun-25,20250630,166,,All Wales LHB (Provider),W92000004,1,,Dermatology,330,21,T,All Stages of Pathway,T,5,,Over 17 weeks and up to 18 weeks,17,18,T,Total,T,,,
"13,619",13619,Pathways waiting,1,1,,Nov-24,20241130,159,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,General Surgery,100,29,T,Waiting for new OP appointment,1,1,T,Total,T,59,,Over 18 years of age,18,,T,
898,898,Pathways waiting,1,1,,Sep-24,20240930,157,,All Wales LHB (Provider),W92000004,1,,"Ear, Nose and Throat",120,24,T,All Stages of Pathway,T,5,,Over 5 weeks and up to 6 weeks,5,6,T,Over 18 years of age,18,,T,
525,525,Pathways waiting,1,1,,Aug-25,20250831,168,,All Wales LHB (Provider),W92000004,1,,Urology,101,76,T,All Stages of Pathway,T,5,,Over 22 weeks and up to 23 weeks,22,23,T,Over 18 years of age,18,,T,
6,6,Pathways waiting,1,1,,Jun-25,20250630,166,,Cardiff and Vale University LHB,W11000029,10,W92000004,Nephrology,361,48,T,All Stages of Pathway,T,5,,Over 8 weeks and up to 9 weeks,8,9,T,Total,T,,,
4,4,Pathways waiting,1,1,,Feb-25,20250228,162,,All Wales LHB (Provider),W92000004,1,,Diagnostic Services,998,23,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 93 weeks and up to 97 weeks,93 - 96,55,T,Total,T,,,
40,40,Pathways waiting,1,1,,Jun-25,20250630,166,,All Wales LHB (Provider),W92000004,1,,Pain Management,191,66,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 13 weeks and up to 14 weeks,13,14,T,Over 18 years of age,18,,T,
52,52,Pathways waiting,1,1,,Aug-24,20240831,156,,All Wales LHB (Provider),W92000004,1,,Diagnostic Services,998,23,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 5 weeks and up to 6 weeks,5,6,T,Less than 18 years of age,17,,T,
38,38,Pathways waiting,1,1,,May-25,20250531,165,,Swansea Bay University Health Board,W11000031,5,W92000004,Plastic Surgery,160,68,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 27 weeks and up to 28 weeks,27,28,T,Total,T,,,
36,36,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Paediatrics,420,65,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 45 weeks and up to 49 weeks,45 - 48,43,T,Less than 18 years of age,17,,T,
