Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Date,Date_reference,Date_sort,Date_hierarchy,local health board provider,local health board provider_reference,local health board provider_sort,local health board provider_hierarchy,specialty,specialty_reference,specialty_sort,specialty_hierarchy,stage of pathway,stage of pathway_reference,stage of pathway_sort,stage of pathway_hierarchy,weeks waiting,weeks waiting_reference,weeks waiting_sort,weeks waiting_hierarchy,age group,age group_reference,age group_sort,age group_hierarchy,Notes
27,27,Pathways waiting,1,1,,Jun-25,20250630,166,,Cardiff and Vale University LHB,W11000029,10,W92000004,Geriatric Medicine,430,31,T,Waiting for new OP appointment,1,1,T,Over 12 weeks and up to 13 weeks,12,13,T,Total,T,,,
263,263,Pathways waiting,1,1,,Sep-25,20250930,169,,All Wales LHB (Provider),W92000004,1,,Endocrinology,302,25,T,Waiting for new OP appointment,1,1,T,Over 10 weeks and up to 11 weeks,10,11,T,Over 18 years of age,18,,T,
5,5,Pathways waiting,1,1,,Aug-25,20250831,168,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Clinical Immunology and Allergy,313,13,T,All Stages of Pathway,T,5,,Over 17 weeks and up to 18 weeks,17,18,T,Over 18 years of age,18,,T,
5,5,Pathways waiting,1,1,,Jun-25,20250630,166,,Cardiff and Vale University LHB,W11000029,10,W92000004,Paediatric Neurology,421,63,T,All Stages of Pathway,T,5,,Over 25 weeks and up to 26 weeks,25,26,T,Less than 18 years of age,17,,T,
4,4,Pathways waiting,1,1,,May-25,20250531,165,,All Wales LHB (Provider),W92000004,1,,Rheumatology,410,73,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 16 weeks and up to 17 weeks,16,17,T,Over 18 years of age,18,,T,
41,41,Pathways waiting,1,1,,Nov-24,20241130,159,,Cardiff and Vale University LHB,W11000029,10,W92000004,Urology,101,76,T,Waiting for new OP appointment,1,1,T,Over 3 weeks and up to 4 weeks,3,4,T,Total,T,,,
2,2,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Clinical Neurophysiology,401,14,T,All Stages of Pathway,T,5,,Over 33 weeks and up to 34 weeks,33,34,T,Over 18 years of age,18,,T,
62,62,Pathways waiting,1,1,,Jun-25,20250630,166,,Hywel Dda LHB,W11000025,4,W92000004,Dermatology,330,21,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 69 weeks and up to 73 weeks,69 - 72,49,T,Total,T,,,
"2,706",2706,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Total,T,83,,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 6 weeks and up to 7 weeks,6,7,T,Total,T,,,
52,52,Pathways waiting,1,1,,Aug-24,20240831,156,,All Wales LHB (Provider),W92000004,1,,Respiratory Medicine,340,71,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 8 weeks and up to 9 weeks,8,9,T,Over 18 years of age,18,,T,
136,136,Pathways waiting,1,1,,May-25,20250531,165,,All Wales LHB (Provider),W92000004,1,,Paediatric Dentistry,142,61,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Total,T,59,,Less than 18 years of age,17,,T,
2,2,Pathways waiting,1,1,,May-25,20250531,165,,Aneurin Bevan LHB,W11000028,9,W92000004,Clinical Pharmacology,305,16,T,All Stages of Pathway,T,5,,Over 38 weeks and up to 39 weeks,38,39,T,Over 18 years of age,18,,T,
12,12,Pathways waiting,1,1,,Aug-25,20250831,168,,All Wales LHB (Provider),W92000004,1,,Vascular Surgery,107,79,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 81 weeks and up to 85 weeks,81 - 84,52,T,Over 18 years of age,18,,T,
4,4,Pathways waiting,1,1,,May-25,20250531,165,,Hywel Dda LHB,W11000025,4,W92000004,Allied Health Profession Services,999,2,T,All Stages of Pathway,T,5,,Over 9 weeks and up to 10 weeks,9,10,T,Less than 18 years of age,17,,T,
"2,201",2201,Pathways waiting,1,1,,Aug-24,20240831,156,,All Wales LHB (Provider),W92000004,1,,Trauma and Orthopaedic,110,75,T,Waiting for new OP appointment,1,1,T,Over 41 weeks and up to 45 weeks,41 - 44,42,T,Over 18 years of age,18,,T,
"3,593",3593,Pathways waiting,1,1,,Jun-25,20250630,166,,All Wales LHB (Provider),W92000004,1,,Trauma and Orthopaedic,110,75,T,All Stages of Pathway,T,5,,Over 49 weeks and up to 53 weeks,49 - 52,44,T,Over 18 years of age,18,,T,
"1,930",1930,Pathways waiting,1,1,,Oct-25,20251031,170,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Total,T,83,,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 5 weeks and up to 6 weeks,5,6,T,Total,T,,,
3,3,Pathways waiting,1,1,,Jan-25,20250131,161,,Hywel Dda LHB,W11000025,4,W92000004,General Surgery,100,29,T,All Stages of Pathway,T,5,,Over 24 weeks and up to 25 weeks,24,25,T,Less than 18 years of age,17,,T,
381,381,Pathways waiting,1,1,,Feb-25,20250228,162,,Swansea Bay University Health Board,W11000031,5,W92000004,Trauma and Orthopaedic,110,75,T,All Stages of Pathway,T,5,,Over 57 weeks and up to 61 weeks,57 - 60,46,T,Total,T,,,
1,1,Pathways waiting,1,1,,May-25,20250531,165,,Hywel Dda LHB,W11000025,4,W92000004,Clinical Neurophysiology,401,14,T,All Stages of Pathway,T,5,,Over 38 weeks and up to 39 weeks,38,39,T,Over 18 years of age,18,,T,
50,50,Pathways waiting,1,1,,Jul-25,20250731,167,,Hywel Dda LHB,W11000025,4,W92000004,Rheumatology,410,73,T,All Stages of Pathway,T,5,,Over 49 weeks and up to 53 weeks,49 - 52,44,T,Total,T,,,
78,78,Pathways waiting,1,1,,Jun-25,20250630,166,,Hywel Dda LHB,W11000025,4,W92000004,Respiratory Medicine,340,71,T,All Stages of Pathway,T,5,,Over 3 weeks and up to 4 weeks,3,4,T,Over 18 years of age,18,,T,
18,18,Pathways waiting,1,1,,Mar-25,20250331,163,,Aneurin Bevan LHB,W11000028,9,W92000004,Pain Management,191,66,T,Waiting for new OP appointment,1,1,T,Over 2 weeks and up to 3 weeks,2,3,T,Total,T,,,
122,122,Pathways waiting,1,1,,Jun-25,20250630,166,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Gynaecology,502,34,T,Waiting for new OP appointment,1,1,T,Over 14 weeks and up to 15 weeks,14,15,T,Total,T,,,
119,119,Pathways waiting,1,1,,Mar-25,20250331,163,,All Wales LHB (Provider),W92000004,1,,Allied Health Profession Services,999,2,T,All Stages of Pathway,T,5,,Over 25 weeks and up to 26 weeks,25,26,T,Over 18 years of age,18,,T,
227,227,Pathways waiting,1,1,,Apr-25,20250430,164,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Trauma and Orthopaedic,110,75,T,All Stages of Pathway,T,5,,Over 23 weeks and up to 24 weeks,23,24,T,Over 18 years of age,18,,T,
120,120,Pathways waiting,1,1,,Apr-25,20250430,164,,All Wales LHB (Provider),W92000004,1,,Gastroenterology,301,26,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 28 weeks and up to 29 weeks,28,29,T,Over 18 years of age,18,,T,
68,68,Pathways waiting,1,1,,Dec-24,20241231,160,,All Wales LHB (Provider),W92000004,1,,Dermatology,330,21,T,All Stages of Pathway,T,5,,Over 18 weeks and up to 19 weeks,18,19,T,Less than 18 years of age,17,,T,
29,29,Pathways waiting,1,1,,Jun-25,20250630,166,,All Wales LHB (Provider),W92000004,1,,Clinical Neurophysiology,401,14,T,All Stages of Pathway,T,5,,Over 3 weeks and up to 4 weeks,3,4,T,Over 18 years of age,18,,T,
10,10,Pathways waiting,1,1,,Sep-24,20240930,157,,Powys Teaching LHB,W11000024,3,W92000004,General Surgery,100,29,T,Waiting for new OP appointment,1,1,T,Over 10 weeks and up to 11 weeks,10,11,T,Total,T,,,
33,33,Pathways waiting,1,1,,Apr-25,20250430,164,,All Wales LHB (Provider),W92000004,1,,Ophthalmology,130,58,T,Waiting for new OP appointment,1,1,T,Over 33 weeks and up to 34 weeks,33,34,T,Less than 18 years of age,17,,T,
717,717,Pathways waiting,1,1,,Jun-25,20250630,166,,All Wales LHB (Provider),W92000004,1,,Gynaecology,502,34,T,All Stages of Pathway,T,5,,Over 28 weeks and up to 29 weeks,28,29,T,Over 18 years of age,18,,T,
31,31,Pathways waiting,1,1,,Sep-24,20240930,157,,Hywel Dda LHB,W11000025,4,W92000004,"Ear, Nose and Throat",120,24,T,Waiting for new OP appointment,1,1,T,Over 40 weeks and up to 41 weeks,40,41,T,Total,T,,,
20,20,Pathways waiting,1,1,,May-25,20250531,165,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Rheumatology,410,73,T,All Stages of Pathway,T,5,,Over 21 weeks and up to 22 weeks,21,22,T,Over 18 years of age,18,,T,
10,10,Pathways waiting,1,1,,Aug-24,20240831,156,,Aneurin Bevan LHB,W11000028,9,W92000004,Gynaecology,502,34,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 32 weeks and up to 33 weeks,32,33,T,Total,T,,,
39,39,Pathways waiting,1,1,,Oct-24,20241031,158,,All Wales LHB (Provider),W92000004,1,,General Medicine,300,27,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 33 weeks and up to 34 weeks,33,34,T,Total,T,,,
56,56,Pathways waiting,1,1,,Feb-25,20250228,162,,Cardiff and Vale University LHB,W11000029,10,W92000004,Paediatrics,420,65,T,All Stages of Pathway,T,5,,Over 16 weeks and up to 17 weeks,16,17,T,Total,T,,,
10,10,Pathways waiting,1,1,,Jun-25,20250630,166,,Cardiff and Vale University LHB,W11000029,10,W92000004,Dermatology,330,21,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 69 weeks and up to 73 weeks,69 - 72,49,T,Total,T,,,
30,30,Pathways waiting,1,1,,Feb-25,20250228,162,,All Wales LHB (Provider),W92000004,1,,Vascular Surgery,107,79,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 93 weeks and up to 97 weeks,93 - 96,55,T,Over 18 years of age,18,,T,
2,2,Pathways waiting,1,1,,Nov-24,20241130,159,,All Wales LHB (Provider),W92000004,1,,Endocrinology,302,25,T,All Stages of Pathway,T,5,,Over 23 weeks and up to 24 weeks,23,24,T,Less than 18 years of age,17,,T,
9,9,Pathways waiting,1,1,,Sep-24,20240930,157,,All Wales LHB (Provider),W92000004,1,,Paediatric Surgery,171,64,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 45 weeks and up to 49 weeks,45 - 48,43,T,Total,T,,,
10,10,Pathways waiting,1,1,,Mar-25,20250331,163,,Swansea Bay University Health Board,W11000031,5,W92000004,Gastroenterology,301,26,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 12 weeks and up to 13 weeks,12,13,T,Total,T,,,
22,22,Pathways waiting,1,1,,Mar-25,20250331,163,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Anaesthetics,190,3,T,All Stages of Pathway,T,5,,Over 18 weeks and up to 19 weeks,18,19,T,Over 18 years of age,18,,T,
100,100,Pathways waiting,1,1,,Apr-25,20250430,164,,Cardiff and Vale University LHB,W11000029,10,W92000004,Gastroenterology,301,26,T,All Stages of Pathway,T,5,,Over 22 weeks and up to 23 weeks,22,23,T,Total,T,,,
8,8,Pathways waiting,1,1,,Mar-25,20250331,163,,Aneurin Bevan LHB,W11000028,9,W92000004,Chemical Pathology,822,10,T,All Stages of Pathway,T,5,,Over 21 weeks and up to 22 weeks,21,22,T,Over 18 years of age,18,,T,
11,11,Pathways waiting,1,1,,Jan-25,20250131,161,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Vascular Surgery,107,79,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 9 weeks and up to 10 weeks,9,10,T,Total,T,,,
125,125,Pathways waiting,1,1,,May-25,20250531,165,,Cardiff and Vale University LHB,W11000029,10,W92000004,Urology,101,76,T,All Stages of Pathway,T,5,,Over 41 weeks and up to 45 weeks,41 - 44,42,T,Total,T,,,
14,14,Pathways waiting,1,1,,Jul-25,20250731,167,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Vascular Surgery,107,79,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 53 weeks and up to 57 weeks,53 - 56,45,T,Total,T,,,
504,504,Pathways waiting,1,1,,Aug-25,20250831,168,,All Wales LHB (Provider),W92000004,1,,Oral Surgery,140,59,T,Waiting for new OP appointment,1,1,T,Over 2 weeks and up to 3 weeks,2,3,T,Total,T,,,
14,14,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Paediatric Dentistry,142,61,T,All Stages of Pathway,T,5,,Over 57 weeks and up to 61 weeks,57 - 60,46,T,Total,T,,,
2,2,Pathways waiting,1,1,,Sep-24,20240930,157,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Rheumatology,410,73,T,All Stages of Pathway,T,5,,Over 17 weeks and up to 18 weeks,17,18,T,Less than 18 years of age,17,,T,
19,19,Pathways waiting,1,1,,Oct-24,20241031,158,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Endocrinology,302,25,T,All Stages of Pathway,T,5,,Over 25 weeks and up to 26 weeks,25,26,T,Over 18 years of age,18,,T,
48,48,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Dental Medicine,450,20,T,All Stages of Pathway,T,5,,Total,T,59,,Less than 18 years of age,17,,T,
"2,154",2154,Pathways waiting,1,1,,Jun-25,20250630,166,,All Wales LHB (Provider),W92000004,1,,Total,T,83,,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 101 weeks and up to 105 weeks,101 - 104,57,T,Total,T,,,
815,815,Pathways waiting,1,1,,Dec-24,20241231,160,,All Wales LHB (Provider),W92000004,1,,Ophthalmology,130,58,T,Waiting for new OP appointment,1,1,T,Over 0 weeks and up to 1 week,0,1,T,Over 18 years of age,18,,T,
33,33,Pathways waiting,1,1,,Sep-24,20240930,157,,Hywel Dda LHB,W11000025,4,W92000004,General Surgery,100,29,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 20 weeks and up to 21 weeks,20,21,T,Total,T,,,
1,1,Pathways waiting,1,1,,Apr-25,20250430,164,,All Wales LHB (Provider),W92000004,1,,Diagnostic Services,998,23,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 1 week and up to 2 weeks,1,2,T,Total,T,,,
8,8,Pathways waiting,1,1,,Oct-24,20241031,158,,All Wales LHB (Provider),W92000004,1,,Dermatology,330,21,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 28 weeks and up to 29 weeks,28,29,T,Total,T,,,
4,4,Pathways waiting,1,1,,Dec-24,20241231,160,,Hywel Dda LHB,W11000025,4,W92000004,Urology,101,76,T,All Stages of Pathway,T,5,,Over 11 weeks and up to 12 weeks,11,12,T,Less than 18 years of age,17,,T,
6,6,Pathways waiting,1,1,,Sep-24,20240930,157,,Cardiff and Vale University LHB,W11000029,10,W92000004,Rehabilitation,314,70,T,All Stages of Pathway,T,5,,Over 27 weeks and up to 28 weeks,27,28,T,Over 18 years of age,18,,T,
38,38,Pathways waiting,1,1,,Jul-25,20250731,167,,Hywel Dda LHB,W11000025,4,W92000004,Neurology,400,49,T,Waiting for new OP appointment,1,1,T,Over 38 weeks and up to 39 weeks,38,39,T,Total,T,,,
35,35,Pathways waiting,1,1,,Sep-25,20250930,169,,All Wales LHB (Provider),W92000004,1,,Urology,101,76,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 33 weeks and up to 34 weeks,33,34,T,Total,T,,,
15,15,Pathways waiting,1,1,,Dec-24,20241231,160,,Aneurin Bevan LHB,W11000028,9,W92000004,Orthodontics,143,60,T,Waiting for new OP appointment,1,1,T,Over 13 weeks and up to 14 weeks,13,14,T,Total,T,,,
"1,233",1233,Pathways waiting,1,1,,May-25,20250531,165,,All Wales LHB (Provider),W92000004,1,,Trauma and Orthopaedic,110,75,T,All Stages of Pathway,T,5,,Over 33 weeks and up to 34 weeks,33,34,T,Total,T,,,
451,451,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,"Ear, Nose and Throat",120,24,T,Waiting for new OP appointment,1,1,T,Over 22 weeks and up to 23 weeks,22,23,T,Total,T,,,
30,30,Pathways waiting,1,1,,Oct-25,20251031,170,,All Wales LHB (Provider),W92000004,1,,Geriatric Medicine,430,31,T,Waiting for new OP appointment,1,1,T,Over 32 weeks and up to 33 weeks,32,33,T,Over 18 years of age,18,,T,
823,823,Pathways waiting,1,1,,Nov-24,20241130,159,,All Wales LHB (Provider),W92000004,1,,Gynaecology,502,34,T,All Stages of Pathway,T,5,,Over 27 weeks and up to 28 weeks,27,28,T,Total,T,,,
751,751,Pathways waiting,1,1,,Jul-25,20250731,167,,All Wales LHB (Provider),W92000004,1,,Gynaecology,502,34,T,All Stages of Pathway,T,5,,Over 24 weeks and up to 25 weeks,24,25,T,Over 18 years of age,18,,T,
6,6,Pathways waiting,1,1,,Mar-25,20250331,163,,All Wales LHB (Provider),W92000004,1,,Clinical Pharmacology,305,16,T,All Stages of Pathway,T,5,,Over 69 weeks and up to 73 weeks,69 - 72,49,T,Over 18 years of age,18,,T,
13,13,Pathways waiting,1,1,,Feb-25,20250228,162,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Anaesthetics,190,3,T,Waiting for new OP appointment,1,1,T,Over 12 weeks and up to 13 weeks,12,13,T,Total,T,,,
1,1,Pathways waiting,1,1,,Oct-24,20241031,158,,All Wales LHB (Provider),W92000004,1,,Neurosurgery,150,51,T,All Stages of Pathway,T,5,,Over 38 weeks and up to 39 weeks,38,39,T,Total,T,,,
"2,228",2228,Pathways waiting,1,1,,Aug-24,20240831,156,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Total,T,83,,All Stages of Pathway,T,5,,Over 16 weeks and up to 17 weeks,16,17,T,Over 18 years of age,18,,T,
"2,936",2936,Pathways waiting,1,1,,May-25,20250531,165,,Aneurin Bevan LHB,W11000028,9,W92000004,Endocrinology,302,25,T,All Stages of Pathway,T,5,,Total,T,59,,Total,T,,,
"14,516",14516,Pathways waiting,1,1,,Sep-24,20240930,157,,Hywel Dda LHB,W11000025,4,W92000004,Ophthalmology,130,58,T,All Stages of Pathway,T,5,,Total,T,59,,Over 18 years of age,18,,T,
1,1,Pathways waiting,1,1,,Nov-24,20241130,159,,All Wales LHB (Provider),W92000004,1,,Orthodontics,143,60,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 33 weeks and up to 34 weeks,33,34,T,Over 18 years of age,18,,T,
"2,247",2247,Pathways waiting,1,1,,Oct-24,20241031,158,,Hywel Dda LHB,W11000025,4,W92000004,Neurology,400,49,T,Waiting for new OP appointment,1,1,T,Total,T,59,,Over 18 years of age,18,,T,
13,13,Pathways waiting,1,1,,Dec-24,20241231,160,,Cardiff and Vale University LHB,W11000029,10,W92000004,Trauma and Orthopaedic,110,75,T,All Stages of Pathway,T,5,,Over 73 weeks and up to 77 weeks,73 - 76,50,T,Less than 18 years of age,17,,T,
33,33,Pathways waiting,1,1,,Mar-25,20250331,163,,All Wales LHB (Provider),W92000004,1,,"Ear, Nose and Throat",120,24,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 32 weeks and up to 33 weeks,32,33,T,Less than 18 years of age,17,,T,
17,17,Pathways waiting,1,1,,Jul-25,20250731,167,,Hywel Dda LHB,W11000025,4,W92000004,"Ear, Nose and Throat",120,24,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 16 weeks and up to 17 weeks,16,17,T,Total,T,,,
1,1,Pathways waiting,1,1,,Jul-25,20250731,167,,Powys Teaching LHB,W11000024,3,W92000004,Geriatric Medicine,430,31,T,All Stages of Pathway,T,5,,Over 10 weeks and up to 11 weeks,10,11,T,Over 18 years of age,18,,T,
8,8,Pathways waiting,1,1,,Feb-25,20250228,162,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Geriatric Medicine,430,31,T,All Stages of Pathway,T,5,,Over 26 weeks and up to 27 weeks,26,27,T,Over 18 years of age,18,,T,
1,1,Pathways waiting,1,1,,Oct-25,20251031,170,,All Wales LHB (Provider),W92000004,1,,Paediatric Dentistry,142,61,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 57 weeks and up to 61 weeks,57 - 60,46,T,Total,T,,,
16,16,Pathways waiting,1,1,,Jun-25,20250630,166,,Aneurin Bevan LHB,W11000028,9,W92000004,"Ear, Nose and Throat",120,24,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 38 weeks and up to 39 weeks,38,39,T,Total,T,,,
4,4,Pathways waiting,1,1,,Jun-25,20250630,166,,Powys Teaching LHB,W11000024,3,W92000004,Gynaecology,502,34,T,Waiting for new OP appointment,1,1,T,Over 29 weeks and up to 30 weeks,29,30,T,Total,T,,,
14,14,Pathways waiting,1,1,,Jun-25,20250630,166,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Rheumatology,410,73,T,Waiting for new OP appointment,1,1,T,Over 34 weeks and up to 35 weeks,34,35,T,Total,T,,,
"1,208",1208,Pathways waiting,1,1,,May-25,20250531,165,,All Wales LHB (Provider),W92000004,1,,Ophthalmology,130,58,T,Waiting for new OP appointment,1,1,T,Over 15 weeks and up to 16 weeks,15,16,T,Total,T,,,
228,228,Pathways waiting,1,1,,Nov-24,20241130,159,,Swansea Bay University Health Board,W11000031,5,W92000004,Total,T,83,,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 11 weeks and up to 12 weeks,11,12,T,Total,T,,,
"2,046",2046,Pathways waiting,1,1,,Oct-24,20241031,158,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,General Surgery,100,29,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Total,T,59,,Over 18 years of age,18,,T,
123,123,Pathways waiting,1,1,,Jan-25,20250131,161,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Dermatology,330,21,T,Waiting for new OP appointment,1,1,T,Over 26 weeks and up to 27 weeks,26,27,T,Total,T,,,
1,1,Pathways waiting,1,1,,Jun-25,20250630,166,,All Wales LHB (Provider),W92000004,1,,Clinical Immunology and Allergy,313,13,T,All Stages of Pathway,T,5,,Over 32 weeks and up to 33 weeks,32,33,T,Less than 18 years of age,17,,T,
8,8,Pathways waiting,1,1,,Nov-24,20241130,159,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Gynaecology,502,34,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 26 weeks and up to 27 weeks,26,27,T,Total,T,,,
"12,134",12134,Pathways waiting,1,1,,Jul-25,20250731,167,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Urology,101,76,T,All Stages of Pathway,T,5,,Total,T,59,,Total,T,,,
3,3,Pathways waiting,1,1,,Sep-24,20240930,157,,Swansea Bay University Health Board,W11000031,5,W92000004,Geriatric Medicine,430,31,T,All Stages of Pathway,T,5,,Over 39 weeks and up to 40 weeks,39,40,T,Over 18 years of age,18,,T,
222,222,Pathways waiting,1,1,,Dec-24,20241231,160,,Powys Teaching LHB,W11000024,3,W92000004,Total,T,83,,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 6 weeks and up to 7 weeks,6,7,T,Total,T,,,
2,2,Pathways waiting,1,1,,Aug-25,20250831,168,,All Wales LHB (Provider),W92000004,1,,Neurology,400,49,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 38 weeks and up to 39 weeks,38,39,T,Total,T,,,
65,65,Pathways waiting,1,1,,Nov-24,20241130,159,,All Wales LHB (Provider),W92000004,1,,Trauma and Orthopaedic,110,75,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 37 weeks and up to 38 weeks,37,38,T,Total,T,,,
4,4,Pathways waiting,1,1,,Feb-25,20250228,162,,All Wales LHB (Provider),W92000004,1,,Rheumatology,410,73,T,Waiting for new OP appointment,1,1,T,Over 26 weeks and up to 27 weeks,26,27,T,Less than 18 years of age,17,,T,
3,3,Pathways waiting,1,1,,Nov-24,20241130,159,,Cardiff and Vale University LHB,W11000029,10,W92000004,General Medicine,300,27,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 0 weeks and up to 1 week,0,1,T,Total,T,,,
22,22,Pathways waiting,1,1,,Sep-24,20240930,157,,Powys Teaching LHB,W11000024,3,W92000004,Ophthalmology,130,58,T,All Stages of Pathway,T,5,,Over 12 weeks and up to 13 weeks,12,13,T,Total,T,,,
87,87,Pathways waiting,1,1,,Jan-25,20250131,161,,Cardiff and Vale University LHB,W11000029,10,W92000004,Total,T,83,,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 65 weeks and up to 69 weeks,65 - 68,48,T,Less than 18 years of age,17,,T,
2,2,Pathways waiting,1,1,,Dec-24,20241231,160,,All Wales LHB (Provider),W92000004,1,,Paediatric Surgery,171,64,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 8 weeks and up to 9 weeks,8,9,T,Less than 18 years of age,17,,T,
219,219,Pathways waiting,1,1,,Aug-25,20250831,168,,Cardiff and Vale University LHB,W11000029,10,W92000004,Ophthalmology,130,58,T,All Stages of Pathway,T,5,,Over 9 weeks and up to 10 weeks,9,10,T,Over 18 years of age,18,,T,
8,8,Pathways waiting,1,1,,May-25,20250531,165,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Gastroenterology,301,26,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 34 weeks and up to 35 weeks,34,35,T,Total,T,,,
1,1,Pathways waiting,1,1,,Aug-25,20250831,168,,Powys Teaching LHB,W11000024,3,W92000004,General Medicine,300,27,T,All Stages of Pathway,T,5,,Over 17 weeks and up to 18 weeks,17,18,T,Over 18 years of age,18,,T,
1,1,Pathways waiting,1,1,,Sep-25,20250930,169,,Swansea Bay University Health Board,W11000031,5,W92000004,Ophthalmology,130,58,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 7 weeks and up to 8 weeks,7,8,T,Total,T,,,
118,118,Pathways waiting,1,1,,Jun-25,20250630,166,,Swansea Bay University Health Board,W11000031,5,W92000004,Cardiology,320,7,T,Waiting for new OP appointment,1,1,T,Over 5 weeks and up to 6 weeks,5,6,T,Total,T,,,
76,76,Pathways waiting,1,1,,Nov-24,20241130,159,,All Wales LHB (Provider),W92000004,1,,Oral Surgery,140,59,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 24 weeks and up to 25 weeks,24,25,T,Over 18 years of age,18,,T,
86,86,Pathways waiting,1,1,,Aug-25,20250831,168,,All Wales LHB (Provider),W92000004,1,,"Ear, Nose and Throat",120,24,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 29 weeks and up to 30 weeks,29,30,T,Over 18 years of age,18,,T,
33,33,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Geriatric Medicine,430,31,T,All Stages of Pathway,T,5,,Over 22 weeks and up to 23 weeks,22,23,T,Over 18 years of age,18,,T,
